Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",134.750000,-31.750000,90.000000,top
"C2","100n","C_0603_1608Metric",132.500000,-27.750000,270.000000,top
"C3","10uF","C_0805_2012Metric",149.250000,-43.500000,270.000000,top
"C4","10uF","C_0805_2012Metric",157.000000,-39.750000,270.000000,top
"C5","100n","C_0603_1608Metric",109.830000,-34.748000,90.000000,top
"C6","100n","C_0603_1608Metric",109.830000,-31.192000,90.000000,top
"C7","100n","C_0603_1608Metric",109.830000,-27.636000,90.000000,top
"C8","100n","C_0603_1608Metric",157.320000,-26.068000,90.000000,top
"C9","100n","C_0603_1608Metric",112.750000,-39.000000,0.000000,top
"C10","100n","C_0603_1608Metric",113.500000,-36.525000,270.000000,top
"C11","100n","C_0603_1608Metric",157.320000,-29.624000,90.000000,top
"C12","100n","C_0603_1608Metric",157.320000,-33.180000,90.000000,top
"C13","100n","C_0603_1608Metric",130.500000,-46.500000,0.000000,top
"C14","100n","C_0603_1608Metric",139.000000,-36.250000,180.000000,top
"C15","100n","C_0603_1608Metric",129.500000,-35.025000,270.000000,top
"C16","100n","C_0603_1608Metric",128.500000,-44.750000,0.000000,top
"C17","100n","C_0603_1608Metric",138.750000,-47.250000,180.000000,top
"C43","100n","C_0603_1608Metric",148.750000,-35.500000,0.000000,top
"C44","100n","C_0603_1608Metric",152.750000,-37.500000,270.000000,top
"C45","100n","C_0603_1608Metric",145.000000,-39.500000,180.000000,top
"D1","CDSOD323","D_SOD-323",129.250000,-27.500000,90.000000,top
"D2","CDSOD323","D_SOD-323",138.000000,-32.000000,270.000000,top
"D3","CDSOD323","D_SOD-323",111.608000,-34.875000,270.000000,top
"D4","CDSOD323","D_SOD-323",111.608000,-31.319000,270.000000,top
"D5","CDSOD323","D_SOD-323",111.608000,-27.763000,270.000000,top
"D6","CDSOD323","D_SOD-323",155.542000,-26.195000,270.000000,top
"D7","CDSOD323","D_SOD-323",155.542000,-29.751000,270.000000,top
"D8","CDSOD323","D_SOD-323",155.542000,-33.307000,270.000000,top
"D9","B5819W","D_SOD-123",140.000000,-41.250000,90.000000,top
"D12","NUP2105L","SOT-23",145.000000,-37.250000,270.000000,top
"J7","I2C","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",120.000000,-45.000000,0.000000,top
"R2","10K","R_0603_1608Metric",131.000000,-27.750000,90.000000,top
"R4","10K","R_0603_1608Metric",136.250000,-31.750000,270.000000,top
"R5","1K","R_0603_1608Metric",107.544000,-33.986000,180.000000,top
"R6","1K","R_0603_1608Metric",107.544000,-30.430000,180.000000,top
"R7","1K","R_0603_1608Metric",107.544000,-26.874000,180.000000,top
"R8","1K","R_0603_1608Metric",159.606000,-25.306000,0.000000,top
"R9","1K","R_0603_1608Metric",159.606000,-28.862000,0.000000,top
"R10","1K","R_0603_1608Metric",159.606000,-32.418000,0.000000,top
"R11","10K","R_0603_1608Metric",114.148000,-33.986000,0.000000,top
"R13","1K","R_0603_1608Metric",130.000000,-30.000000,180.000000,top
"R14","1K","R_0603_1608Metric",137.250000,-29.500000,0.000000,top
"R15","4K7","R_0603_1608Metric",124.750000,-44.750000,270.000000,top
"R16","4K7","R_0603_1608Metric",126.250000,-44.750000,270.000000,top
"R17","10K","R_0603_1608Metric",114.148000,-30.430000,0.000000,top
"R18","10K","R_0603_1608Metric",112.500000,-25.250000,0.000000,top
"R19","10K","R_0603_1608Metric",153.002000,-25.306000,180.000000,top
"R20","10K","R_0603_1608Metric",153.002000,-28.862000,180.000000,top
"R21","10K","R_0603_1608Metric",153.002000,-32.418000,180.000000,top
"R22","10K","R_0603_1608Metric",125.500000,-40.750000,0.000000,top
"R23","10K","R_0603_1608Metric",125.500000,-42.250000,180.000000,top
"R24","10K","R_0603_1608Metric",133.750000,-46.500000,0.000000,top
"R25","100K","R_0603_1608Metric",140.425000,-38.000000,180.000000,top
"R48","56R","R_0603_1608Metric",143.500000,-41.000000,0.000000,top
"R49","56R","R_0603_1608Metric",146.500000,-41.000000,0.000000,top
"U1","UA78M05IDCYR","SOT-223-3_TabPin2",153.750000,-43.500000,270.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",133.477000,-40.259000,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",118.750000,-37.750000,180.000000,top
"U7","MCP2542FDxMF","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",149.500000,-38.000000,180.000000,top
"X1","ASCO","Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm",138.750000,-45.000000,0.000000,top
